text,label
The app was disappointing and a waste of money.,0
The game experience was frustrating and bad.,0
"I really hated this hotel, it was terrible.",0
"I wouldn’t recommend this movie, not worth it.",0
I’m happy I chose this meal.,1
"I wouldn’t recommend this experience, not worth it.",0
"This hotel broke after one use, very poor quality.",0
This movie is useless and annoying.,0
"I wouldn’t recommend this product, not worth it.",0
The app quality was great and service was excellent.,1
"I wouldn’t recommend this game, not worth it.",0
This app is really useful and easy to use.,1
"This experience broke after one use, very poor quality.",0
The app experience was frustrating and bad.,0
This movie is useless and annoying.,0
The hotel was disappointing and a waste of money.,0
"Amazing device, I would highly recommend it.",1
"Awful device, I regret buying it.",0
"Awful book, I regret buying it.",0
The book experience was delightful.,1
The meal was disappointing and a waste of money.,0
I’m happy I chose this movie.,1
I absolutely loved this product!,1
"I really hated this hotel, it was terrible.",0
"Wonderful product, I enjoyed it a lot.",1
"Fantastic movie, worth every penny.",1
The experience experience was delightful.,1
"This game broke after one use, very poor quality.",0
"Awful device, I regret buying it.",0
I’m very dissatisfied with this movie.,0
The meal experience was delightful.,1
"Fantastic hotel, worth every penny.",1
"Awful product, I regret buying it.",0
This game is really useful and easy to use.,1
The product quality was great and service was excellent.,1
"Wonderful app, I enjoyed it a lot.",1
The game was boring and badly made.,0
"I wouldn’t recommend this hotel, not worth it.",0
"Awful experience, I regret buying it.",0
I'm very satisfied with this experience.,1
I absolutely loved this device!,1
"Wonderful book, I enjoyed it a lot.",1
The book quality was great and service was excellent.,1
The meal was disappointing and a waste of money.,0
I’m happy I chose this meal.,1
"Wonderful product, I enjoyed it a lot.",1
The experience was disappointing and a waste of money.,0
The device experience was frustrating and bad.,0
I’m happy I chose this meal.,1
The experience was disappointing and a waste of money.,0
The game experience was frustrating and bad.,0
The app experience was frustrating and bad.,0
I’m happy I chose this service.,1
"Awful experience, I regret buying it.",0
The movie experience was delightful.,1
The product quality was great and service was excellent.,1
This game is useless and annoying.,0
The game experience was delightful.,1
The app quality was great and service was excellent.,1
The experience was boring and badly made.,0
"Amazing meal, I would highly recommend it.",1
The service was fantastic and exceeded my expectations.,1
The movie was disappointing and a waste of money.,0
"Fantastic book, worth every penny.",1
This game is useless and annoying.,0
I’m very dissatisfied with this experience.,0
"I wouldn’t recommend this book, not worth it.",0
"This device broke after one use, very poor quality.",0
This app is really useful and easy to use.,1
This hotel is useless and annoying.,0
The game experience was delightful.,1
This movie is really useful and easy to use.,1
I’m very dissatisfied with this hotel.,0
"Horrible app, I will never try it again.",0
"Amazing game, I would highly recommend it.",1
I'm very satisfied with this product.,1
I’m very dissatisfied with this product.,0
The app quality was great and service was excellent.,1
The book experience was frustrating and bad.,0
I absolutely loved this meal!,1
I’m very dissatisfied with this meal.,0
"Wonderful experience, I enjoyed it a lot.",1
"Fantastic experience, worth every penny.",1
The device quality was great and service was excellent.,1
I'm very satisfied with this product.,1
"This app broke after one use, very poor quality.",0
The movie experience was frustrating and bad.,0
The book was boring and badly made.,0
"Horrible product, I will never try it again.",0
The meal experience was delightful.,1
The meal was fantastic and exceeded my expectations.,1
I’m happy I chose this movie.,1
"Horrible product, I will never try it again.",0
"Fantastic experience, worth every penny.",1
